date,freq,rm,y_true,model,y_pred
2017-07-07,5min,BV,0.0127810454656014,HAR,0.0023659864597541
2017-07-10,5min,BV,0.0123800148802604,ANN,0.0221893452066076
2017-07-10,5min,BV,0.0123800148802604,ARFIMA,0.0128549930987549
2017-07-10,5min,BV,0.0123800148802604,HAR,0.0023403741385967
2017-07-11,5min,BV,0.0120869815073632,ANN,0.0116767039030455
2017-07-11,5min,BV,0.0120869815073632,ARFIMA,0.0128608053704613
2017-07-11,5min,BV,0.0120869815073632,HAR,0.0023317716526255
2017-07-12,5min,BV,0.0105242241293303,ANN,0.013588929687422
2017-07-12,5min,BV,0.0105242241293303,ARFIMA,0.0143787378144894
2017-07-12,5min,BV,0.0105242241293303,HAR,0.0023576791403516
2017-07-13,5min,BV,0.0107349933201683,ANN,0.0124822377256403
